iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.06273050233721733,12.227568173293523,12.73348756945406,0.1824338,0.05895272623747587,0.2594332918524742
10,0.035941457375884056,14.712652408047498,14.970204409635215,0.24617252,0.04872419331222773,0.3912565469741821
20,0.02205734755843878,17.349854909812112,17.734240049624518,0.30878112,0.04121957430616021,0.5445314198732376
50,0.012011108407750725,20.316037398711803,19.946620184241453,0.5222131,0.03412658609449863,0.6458930164575577
100,0.005631952197290957,23.78857399886636,23.417272618775797,0.73226494,0.024714977107942106,0.6988613218069076
200,0.002968000213149935,26.838925600068915,26.39271185014976,0.8568612,0.01680244687013328,0.7649421632289887
500,0.001625265140319243,29.775866240393373,29.4132436506003,0.922993,0.010673974826931953,0.8566600561141968
1000,0.001124598011665512,31.35202719441751,31.501795161830547,0.94800454,0.008063858794048428,0.9251063823699951
