Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[init] loaded model weights from 'model_cifar10/functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000/modSiren.pth'
[init] source model_name=functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000
[init] source variant=vanilla
[init] source best_loss=0.0012658266946101737
[svd-proj] enabled: target=modul_readout mode=reference_scale every=1 layers=2
[svd-proj]   modul        cap=9.98301 sigma 14.2615 -> 9.98301
[svd-proj]   readout      cap=0.12771 sigma 0.182443 -> 0.12771

  0%|          | 0/196 [00:00<?, ?it/s]
Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   0%|          | 0/196 [00:09<?, ?it/s]
                                                                                         
  [sigmas @ epoch 0 batch 0] sine[6]: [4.976 0.423 0.549 ...] min=0.423 max=4.976

Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   0%|          | 0/196 [00:09<?, ?it/s]
Epoch 0 | total 0.0163 | MSE 0.0163 | pen 0.0000:   1%|          | 1/196 [00:09<30:52,  9.50s/it]
Epoch 0 | total 0.0103 | MSE 0.0103 | pen 0.0000:   1%|          | 1/196 [00:18<30:52,  9.50s/it]
Epoch 0 | total 0.0103 | MSE 0.0103 | pen 0.0000:   1%|          | 2/196 [00:18<29:28,  9.12s/it]
Epoch 0 | total 0.0153 | MSE 0.0153 | pen 0.0000:   1%|          | 2/196 [00:27<29:28,  9.12s/it]
Epoch 0 | total 0.0153 | MSE 0.0153 | pen 0.0000:   2%|▏         | 3/196 [00:27<29:26,  9.15s/it]
Epoch 0 | total 0.0137 | MSE 0.0137 | pen 0.0000:   2%|▏         | 3/196 [00:36<29:26,  9.15s/it]
Epoch 0 | total 0.0074 | MSE 0.0074 | pen 0.0000:  11%|█         | 21/196 [03:15<27:04,  9.28s/it]
Epoch 0 | total 0.0066 | MSE 0.0066 | pen 0.0000:  11%|█         | 21/196 [03:24<27:04,  9.28s/it]
Epoch 0 | total 0.0066 | MSE 0.0066 | pen 0.0000:  11%|█         | 22/196 [03:24<26:36,  9.18s/it]
Epoch 0 | total 0.0069 | MSE 0.0069 | pen 0.0000:  11%|█         | 22/196 [03:33<26:36,  9.18s/it]
Epoch 0 | total 0.0069 | MSE 0.0069 | pen 0.0000:  12%|█▏        | 23/196 [03:33<26:22,  9.15s/it]
Epoch 0 | total 0.0090 | MSE 0.0090 | pen 0.0000:  12%|█▏        | 23/196 [03:42<26:22,  9.15s/it]
Epoch 0 | total 0.0090 | MSE 0.0090 | pen 0.0000:  12%|█▏        | 24/196 [03:42<26:08,  9.12s/it]
Epoch 0 | total 0.0132 | MSE 0.0132 | pen 0.0000:  12%|█▏        | 24/196 [03:51<26:08,  9.12s/it]
Epoch 0 | total 0.0132 | MSE 0.0132 | pen 0.0000:  13%|█▎        | 25/196 [03:51<25:55,  9.10s/it]
Epoch 0 | total 0.0111 | MSE 0.0111 | pen 0.0000:  13%|█▎        | 25/196 [04:00<25:55,  9.10s/it]
Epoch 0 | total 0.0111 | MSE 0.0111 | pen 0.0000:  13%|█▎        | 26/196 [04:00<25:37,  9.04s/it]
Epoch 0 | total 0.0104 | MSE 0.0104 | pen 0.0000:  13%|█▎        | 26/196 [04:09<25:37,  9.04s/it]
Epoch 0 | total 0.0104 | MSE 0.0104 | pen 0.0000:  14%|█▍        | 27/196 [04:09<26:02,  9.24s/it]
Epoch 0 | total 0.0063 | MSE 0.0063 | pen 0.0000:  14%|█▍        | 27/196 [04:20<26:02,  9.24s/it]
Epoch 0 | total 0.0063 | MSE 0.0063 | pen 0.0000:  14%|█▍        | 28/196 [04:20<27:09,  9.70s/it]
Epoch 0 | total 0.0055 | MSE 0.0055 | pen 0.0000:  14%|█▍        | 28/196 [04:30<27:09,  9.70s/it]
Epoch 0 | total 0.0055 | MSE 0.0055 | pen 0.0000:  15%|█▍        | 29/196 [04:30<26:50,  9.64s/it]
Epoch 0 | total 0.0050 | MSE 0.0050 | pen 0.0000:  15%|█▍        | 29/196 [04:39<26:50,  9.64s/it]
Epoch 0 | total 0.0050 | MSE 0.0050 | pen 0.0000:  15%|█▌        | 30/196 [04:39<26:46,  9.68s/it]
Epoch 0 | total 0.0048 | MSE 0.0048 | pen 0.0000:  15%|█▌        | 30/196 [04:48<26:46,  9.68s/it]
Epoch 0 | total 0.0048 | MSE 0.0048 | pen 0.0000:  16%|█▌        | 31/196 [04:48<26:01,  9.47s/it]
Epoch 0 | total 0.0047 | MSE 0.0047 | pen 0.0000:  16%|█▌        | 31/196 [04:58<26:01,  9.47s/it]
Epoch 0 | total 0.0047 | MSE 0.0047 | pen 0.0000:  16%|█▋        | 32/196 [04:58<25:56,  9.49s/it]
Epoch 0 | total 0.0044 | MSE 0.0044 | pen 0.0000:  16%|█▋        | 32/196 [05:07<25:56,  9.49s/it]
Epoch 0 | total 0.0044 | MSE 0.0044 | pen 0.0000:  17%|█▋        | 33/196 [05:07<25:20,  9.33s/it]
Epoch 0 | total 0.0041 | MSE 0.0041 | pen 0.0000:  17%|█▋        | 33/196 [05:16<25:20,  9.33s/it]
Epoch 0 | total 0.0041 | MSE 0.0041 | pen 0.0000:  17%|█▋        | 34/196 [05:16<24:45,  9.17s/it]
