iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.04029430877417326,14.615950191952013,14.374623501503528,0.09663714,0.22856731414794923,0.2645781934261322
10,0.04320741961710155,14.668721096609412,13.98225491858423,0.10890484,0.10801401380449534,0.37338713109493255
20,0.04349348791874945,14.955276774786094,14.568052091022423,0.13380136,0.052353169303387403,0.4971273511648178
50,0.042905481159687044,15.058203369229656,14.806700214415141,0.13633287,0.04543029312044382,0.6232800841331482
100,0.04278718391433358,15.07036999789329,14.77688472893793,0.13940933,0.04452676204964519,0.7026256918907166
200,0.042807184439152476,15.074798207786248,14.816163747844811,0.13716112,0.04473842857405543,0.8810649633407592
500,0.04287555022165179,15.064996311620337,14.793762802048505,0.13643998,0.044521760940551755,1.4342898964881896
1000,0.0428984391503036,15.070349618588148,14.792451424239626,0.14034855,0.04469097563996911,2.225127935409546
