image_idx,label,class_name,iters,mse,psnr,ssim,edge_laplacian_mse,phi_norm
8138,8,ship,5,0.12530617415905,9.020275296671038,0.08888926,0.044549666345119476,0.27477946877479553
8138,8,ship,10,0.10198044776916504,9.914830854921908,0.100348264,0.033954180777072906,0.4013085961341858
8138,8,ship,20,0.07458589971065521,11.273432671205306,0.16369893,0.03225133940577507,0.6031854748725891
8138,8,ship,50,0.02217581495642662,16.54120410974227,0.5173023,0.03407004475593567,0.8729540109634399
8138,8,ship,100,0.005731217563152313,22.417531049460038,0.7766836,0.018139295279979706,1.0309351682662964
8138,8,ship,200,0.0032570245675742626,24.871789655611032,0.8629735,0.010521603748202324,1.109323263168335
8138,8,ship,500,0.001697031781077385,27.703100243780842,0.9106104,0.006807205732911825,1.2135382890701294
8138,8,ship,1000,0.0012002353323623538,29.207335926806174,0.92834216,0.005164758767932653,1.2925279140472412
0,6,frog,5,0.06482293456792831,11.88271312121925,0.04932366,0.05143659934401512,0.28326597809791565
0,6,frog,10,0.034031908959150314,14.681136892476324,0.10533234,0.043155305087566376,0.4147496521472931
0,6,frog,20,0.02534138783812523,15.961696043722778,0.12407858,0.039792053401470184,0.5821260213851929
0,6,frog,50,0.01810678467154503,17.421586630697956,0.31868756,0.038661956787109375,0.7115398049354553
0,6,frog,100,0.010764261707663536,19.680157519327658,0.54828906,0.035572536289691925,0.7962302565574646
0,6,frog,200,0.005379953887313604,22.69221446744591,0.78222656,0.02537132054567337,0.9280014634132385
0,6,frog,500,0.0027138718869537115,25.664106578193568,0.90593606,0.015383544377982616,1.1198065280914307
0,6,frog,1000,0.001839163713157177,27.353796103180876,0.9347194,0.011732345446944237,1.232828974723816
1,9,truck,5,0.077524833381176,11.105591584890702,0.16946779,0.18459753692150116,0.2423173487186432
1,9,truck,10,0.051122620701789856,12.913868910164625,0.14619185,0.13126972317695618,0.34872230887413025
1,9,truck,20,0.04243383929133415,13.722876727441415,0.21440053,0.09611944854259491,0.49944573640823364
1,9,truck,50,0.028203589841723442,15.496956097931605,0.4126456,0.0957057923078537,0.5839434266090393
1,9,truck,100,0.018983393907546997,17.216261405097356,0.6008288,0.07755500078201294,0.6731988191604614
1,9,truck,200,0.009422099217772484,20.258523268114104,0.8248604,0.054548271000385284,0.835254967212677
1,9,truck,500,0.004997129552066326,23.012793911981593,0.9276442,0.02967168763279915,0.9679101705551147
1,9,truck,1000,0.0037619518116116524,24.245867718066894,0.9463965,0.023165395483374596,1.0399030447006226
2,9,truck,5,0.1547391414642334,8.103998170582322,0.1213649,0.08021554350852966,0.29851195216178894
2,9,truck,10,0.09334783256053925,10.29895761463437,0.09944225,0.09556114673614502,0.4366154670715332
2,9,truck,20,0.07403041422367096,11.305898205954925,0.20570402,0.05836284160614014,0.5696067810058594
2,9,truck,50,0.021784048527479172,16.618614042060578,0.53389734,0.05788750573992729,0.7386241555213928
2,9,truck,100,0.0055524869821965694,22.555124509815276,0.84162045,0.021922122687101364,0.8395284414291382
2,9,truck,200,0.003954972140491009,24.02856571401106,0.8988681,0.013674232177436352,0.8815287351608276
2,9,truck,500,0.001418604515492916,28.481386621030698,0.9535208,0.006324999034404755,0.9488837122917175
2,9,truck,1000,0.002837078645825386,25.471286250872712,0.9380326,0.0064964815974235535,0.994376540184021
3,4,deer,5,0.07578203082084656,11.204337606014105,0.016046708,0.027241159230470657,0.3024892210960388
3,4,deer,10,0.029558999463915825,15.293102703670066,0.12319144,0.024373039603233337,0.4351094961166382
3,4,deer,20,0.01596715673804283,17.967724115329812,0.18134226,0.02399378828704357,0.6223331093788147
3,4,deer,50,0.011079641990363598,19.554742724705424,0.30738187,0.023660719394683838,0.7446218729019165
3,4,deer,100,0.005314592272043228,22.745300483173544,0.63056296,0.020733579993247986,0.8044698238372803
3,4,deer,200,0.0024357587099075317,26.133657358034906,0.82174355,0.0164865143597126,0.8922766447067261
3,4,deer,500,0.0008592462982051075,30.658823302091346,0.9323056,0.008892625570297241,1.0236754417419434
3,4,deer,1000,0.0005157742416486144,32.875403508161575,0.95633036,0.005693817511200905,1.1015465259552002
4,1,automobile,5,0.10759242624044418,9.682182989089377,0.04055378,0.0706014558672905,0.29015639424324036
4,1,automobile,10,0.08098495006561279,10.91595681253968,0.08390965,0.05773993581533432,0.4245991110801697
4,1,automobile,20,0.05453973636031151,12.632869657258642,0.100499816,0.0535881370306015,0.6268880367279053
4,1,automobile,50,0.031566984951496124,15.007668967729392,0.39984548,0.052743732929229736,0.7932698726654053
4,1,automobile,100,0.013578410260379314,18.671510736166162,0.72479755,0.03773276507854462,0.9459553360939026
4,1,automobile,200,0.0062079778872430325,22.070498386998413,0.87230635,0.019384562969207764,1.0875840187072754
4,1,automobile,500,0.005508436821401119,22.589716273109243,0.922165,0.01306538563221693,1.2383816242218018
4,1,automobile,1000,0.0024188398383557796,26.16392887165648,0.9444701,0.010461363010108471,1.3140373229980469
5,1,automobile,5,0.0648762434720993,11.879143050140717,0.070989884,0.059331826865673065,0.297075480222702
5,1,automobile,10,0.04105482995510101,13.866357423337138,0.08870015,0.05439814180135727,0.42543983459472656
5,1,automobile,20,0.03596809506416321,14.440825625993273,0.08409342,0.05246182531118393,0.563309907913208
5,1,automobile,50,0.029744036495685577,15.266000946961299,0.17576356,0.05184374004602432,0.6517900228500366
5,1,automobile,100,0.018397685140371323,17.352368179691343,0.40033033,0.04673334211111069,0.7588402032852173
5,1,automobile,200,0.009442813694477081,20.248985788046504,0.65598416,0.03426375612616539,0.9324079751968384
5,1,automobile,500,0.005517280660569668,22.58274923195346,0.77849835,0.02548334375023842,1.1364493370056152
5,1,automobile,1000,0.004040497820824385,23.935651231276015,0.83756787,0.02180459164083004,1.287999153137207
10,4,deer,5,0.08040837198495865,10.946987308836222,0.025240883,0.019047996029257774,0.31462574005126953
10,4,deer,10,0.035786986351013184,14.462748723345502,0.20043717,0.014307870529592037,0.43690428137779236
10,4,deer,20,0.005929260980337858,22.269994334758895,0.3047785,0.011812791228294373,0.6359824538230896
10,4,deer,50,0.0036919123958796263,24.32748612748362,0.3956662,0.010705257765948772,0.8130167722702026
10,4,deer,100,0.0023885928094387054,26.218578794197626,0.558667,0.010345162823796272,0.8292007446289062
10,4,deer,200,0.0010066155809909105,29.971363516201777,0.7650118,0.008480421267449856,0.8692384958267212
10,4,deer,500,0.0004145351122133434,33.82438677671808,0.8998575,0.005054512992501259,0.9250326156616211
10,4,deer,1000,0.00025269619072787464,35.97401304808749,0.94129664,0.003246359061449766,0.9854633808135986
20,4,deer,5,0.037565551698207855,14.252102286070553,0.15305312,0.038862381130456924,0.236130490899086
20,4,deer,10,0.031055409461259842,15.078627402682649,0.15499322,0.03849044069647789,0.36299970746040344
20,4,deer,20,0.027057845145463943,15.677067930561332,0.19658059,0.03636590391397476,0.44686493277549744
20,4,deer,50,0.010737988166511059,19.690770789741762,0.5564294,0.034833233803510666,0.5766818523406982
20,4,deer,100,0.0018446671310812235,27.340819905764636,0.8813376,0.01746949553489685,0.747464120388031
20,4,deer,200,0.0006136031588539481,32.121124132877135,0.9528218,0.0077688973397016525,0.8167828321456909
20,4,deer,500,0.000279343337751925,35.538616819629496,0.97593874,0.0035762200132012367,0.8858463764190674
20,4,deer,1000,0.00026128088939003646,35.828923542832804,0.98332953,0.0024939589202404022,0.9160831570625305
30,0,airplane,5,0.05062404274940491,12.956431757788895,0.14059754,0.120949886739254,0.23683428764343262
30,0,airplane,10,0.02164895087480545,16.645631450530047,0.16928053,0.07169252634048462,0.36732175946235657
30,0,airplane,20,0.016573678702116013,17.80581084657915,0.23040427,0.04888670891523361,0.5643911957740784
30,0,airplane,50,0.01209211628884077,19.174976849015138,0.32124498,0.04651530832052231,0.6734168529510498
30,0,airplane,100,0.008526194840669632,20.692447470746696,0.47183087,0.042941465973854065,0.7191208600997925
30,0,airplane,200,0.005364253185689449,22.704907322087927,0.64805466,0.034599900245666504,0.8155601620674133
30,0,airplane,500,0.0027727950364351273,25.570822320575832,0.80844885,0.02233518660068512,0.9942275285720825
30,0,airplane,1000,0.0023034950718283653,26.376127125539263,0.85044473,0.018484216183423996,1.1020920276641846
