iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.08392417505383491,11.103376317130317,11.154964595452403,0.087552756,0.06968340519815683,0.2776186361908913
10,0.052057293616235255,13.40712187883023,14.16455307334132,0.12718269,0.056494231056422,0.4053770214319229
20,0.03724273140542209,15.305819615880552,15.058946778277303,0.18055809,0.0453634837642312,0.5714133650064468
50,0.018918291828595103,17.910000728606907,17.020100336379265,0.39388642,0.044662729185074565,0.7159858644008636
100,0.009108150261454284,21.489010005344035,21.55498926010337,0.64349484,0.032914476655423644,0.814494377374649
200,0.004708507203031331,24.510162960942875,23.366736518049493,0.8084851,0.02250994797796011,0.9167958557605743
500,0.002617827500216663,27.562650207906415,26.683603410987203,0.90149254,0.013659471133723854,1.0453751623630523
1000,0.0019431013555731625,28.743233332648025,26.86496161436007,0.926093,0.010874328762292862,1.126685804128647
