iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.043081626296043396,13.852699721623981,14.290509025380818,0.15105055,0.10074585564434528,0.20791808515787125
10,0.031302363332360986,15.46758979717573,14.944833791324092,0.1761471,0.0912101723253727,0.2882731884717941
20,0.02319581378251314,16.921676538851898,16.464040360078535,0.24851827,0.0727514929138124,0.35505121648311616
50,0.01349334828555584,19.279490372456156,18.85442781947112,0.47531033,0.05948489829897881,0.3987275868654251
100,0.00736161288805306,22.004094230149356,21.610988910987693,0.6886732,0.042138310708105566,0.4273838371038437
200,0.0051427740603685376,23.577332916264062,23.889897394210536,0.80421907,0.028547496628016235,0.46137825548648836
500,0.0037512598442845046,25.451089479112767,25.39036150124366,0.8748432,0.0168494020588696,0.49366867542266846
1000,0.002726865408476442,26.954816403227074,27.207966715555727,0.9016924,0.013438350311480463,0.5235397845506669
