iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.03481101086363196,14.95335155247428,14.748988331989912,0.15306069,0.1028177946805954,0.2285800650715828
10,0.029346562270075083,15.979578231273475,14.967586113520095,0.17866512,0.0889439944177866,0.3137918025255203
20,0.023239537514746188,16.90281301183627,16.32450382672681,0.26494962,0.0973443959839642,0.3746888697147369
50,0.012299421010538936,19.59994140629653,19.430471940932673,0.53564703,0.07558613158762455,0.39720913469791413
100,0.007723967998754233,21.800702816055786,20.877958857839737,0.7101258,0.05669780801981687,0.4125569462776184
200,0.00473613654030487,24.354809770424307,24.24535974218951,0.8282118,0.030978053249418734,0.42381201684474945
500,0.005916148552205414,23.736002427705845,23.363801171424186,0.8188134,0.042373607656918465,0.4361048102378845
1000,0.0032856194069609047,26.018998579249807,25.460169318759327,0.8803165,0.021389163169078528,0.445094233751297
