image_idx,label,class_name,iters,mse,psnr,ssim,edge_laplacian_mse,phi_norm
8138,8,ship,5,0.04035555571317673,13.940966678940052,0.22292735,0.10986604541540146,0.24124178290367126
8138,8,ship,10,0.03325299173593521,14.781692755952175,0.23120356,0.18525856733322144,0.30291298031806946
8138,8,ship,20,0.020331036299467087,16.918404842409625,0.3925679,0.15913742780685425,0.32884448766708374
8138,8,ship,50,0.008240949362516403,20.840227544251523,0.6325145,0.07486806064844131,0.344622403383255
8138,8,ship,100,0.004615988582372665,23.35735274076476,0.77497345,0.03542253375053406,0.3555973470211029
8138,8,ship,200,0.002526832278817892,25.974235838819308,0.8605239,0.016720686107873917,0.36866486072540283
8138,8,ship,500,0.005104033276438713,22.92086502835758,0.8355401,0.01855391077697277,0.37711548805236816
8138,8,ship,1000,0.0023247830104082823,26.33617576873004,0.8740496,0.01841537095606327,0.38151076436042786
0,6,frog,5,0.029500793665647507,15.301662999549016,0.11734868,0.071306973695755,0.21978671848773956
0,6,frog,10,0.02385403774678707,16.22438097851203,0.12623478,0.05958859249949455,0.32733654975891113
0,6,frog,20,0.02257094345986843,16.464502871406193,0.15573324,0.0710940957069397,0.4042915105819702
0,6,frog,50,0.012830611318349838,18.91752651040411,0.50987905,0.08026708662509918,0.4137899875640869
0,6,frog,100,0.006874412298202515,21.627644242697063,0.7580605,0.045777782797813416,0.42700427770614624
0,6,frog,200,0.004488996230065823,23.4785075932597,0.8454072,0.030150234699249268,0.4370131194591522
0,6,frog,500,0.004577380605041981,23.393829748793916,0.87349486,0.025665273889899254,0.44975560903549194
0,6,frog,1000,0.003480035811662674,24.58416286878861,0.8874015,0.022662682458758354,0.45756444334983826
1,9,truck,5,0.04989837855100632,13.019135665568065,0.11539915,0.20588378608226776,0.21799683570861816
1,9,truck,10,0.048879481852054596,13.108734064886242,0.10429194,0.11589663475751877,0.2859209477901459
1,9,truck,20,0.038057707250118256,14.195573789132858,0.2921423,0.17887479066848755,0.3125113844871521
1,9,truck,50,0.021473925560712814,16.680885567040317,0.63944113,0.13571466505527496,0.3275435268878937
1,9,truck,100,0.01049063354730606,19.79198283227738,0.8443057,0.07708754390478134,0.35032275319099426
1,9,truck,200,0.009384422563016415,20.27592444983052,0.8863446,0.05916730314493179,0.3607807457447052
1,9,truck,500,0.006604646798223257,21.80150402528506,0.91954374,0.04266064614057541,0.37018099427223206
1,9,truck,1000,0.0061195408925414085,22.13281158788268,0.9187281,0.043302878737449646,0.3810414969921112
2,9,truck,5,0.055028192698955536,12.5941475056809,0.24033153,0.15548370778560638,0.23248295485973358
2,9,truck,10,0.03906465694308281,14.082159852128537,0.2831895,0.19237020611763,0.27190500497817993
2,9,truck,20,0.024074070155620575,16.184504782047433,0.4608275,0.19399163126945496,0.2850715219974518
2,9,truck,50,0.007636388298124075,21.171119965375226,0.7047669,0.07410882413387299,0.2884005904197693
2,9,truck,100,0.0037662344984710217,24.240926428372987,0.8048672,0.039094239473342896,0.2937464714050293
2,9,truck,200,0.0017719626193866134,27.515454440547003,0.8897142,0.01781202293932438,0.3042002320289612
2,9,truck,500,0.019525675103068352,17.0939394139593,0.52972776,0.16481788456439972,0.3120887279510498
2,9,truck,1000,0.0011302945204079151,29.4680837782457,0.9395227,0.008660892955958843,0.3297998011112213
3,4,deer,5,0.03072364255785942,15.125272961601206,0.1712396,0.05318247526884079,0.22153563797473907
