iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.05974659901112318,12.908692241280187,13.780655546870012,0.17712131,0.06407708153128625,0.27205168306827543
10,0.03842604709789157,14.954271262580466,15.1978785682271,0.24571058,0.051528573781251905,0.325159478187561
20,0.021006792923435567,17.392677889271773,16.985590731798553,0.3408544,0.04267502455040813,0.37574574053287507
50,0.013969081779941916,19.085968621523897,18.506073718149352,0.48431587,0.038501539081335065,0.4288592129945755
