model,layer,sigma,effective_gain,cumulative_bound
vanilla_base,sine.0,4.976300239562988,49.76300239562988,49.76300239562988
vanilla_base,sine.1,0.4233628213405609,4.233628213405609,210.6780509259096
vanilla_base,sine.2,0.5489956736564636,5.489956736564636,1156.6133849270047
vanilla_base,sine.3,0.45996522903442383,4.599652290344238,5320.0194050223
vanilla_base,sine.4,0.4839462637901306,4.839462637901306,25746.035143515357
vanilla_base,sine.5,0.6127501130104065,6.127501130104065,157758.85943758933
vanilla_base,readout,0.18244318664073944,0.18244318664073944,28782.02903660229
softlip_tiered_e12,sine.0,4.479329586029053,44.79329586029053,44.79329586029053
softlip_tiered_e12,sine.1,0.36579081416130066,3.6579081416130066,163.8497616170369
softlip_tiered_e12,sine.2,0.4678330421447754,4.678330421447754,766.5433243199462
softlip_tiered_e12,sine.3,0.3495332896709442,3.495332896709442,2679.324098248523
softlip_tiered_e12,sine.4,0.3660651743412018,3.660651743412018,9808.072431419288
softlip_tiered_e12,sine.5,0.46134722232818604,4.61347222328186,45249.269726289465
softlip_tiered_e12,readout,0.15128716826438904,0.15128716826438904,6845.633882921879
warm_orth_lam1e-3,sine.0,3.8612594604492188,38.61259460449219,38.61259460449219
warm_orth_lam1e-3,sine.1,0.4276367723941803,4.276367723941803,165.1216533042998
warm_orth_lam1e-3,sine.2,0.5467084646224976,5.467084646224976,902.7340555392209
warm_orth_lam1e-3,sine.3,0.46259576082229614,4.625957608222961,4176.009472423629
warm_orth_lam1e-3,sine.4,0.48415490984916687,4.841549098491669,20218.354896505287
warm_orth_lam1e-3,sine.5,0.6105035543441772,6.1050355434417725,123433.77527308477
warm_orth_lam1e-3,readout,0.17934975028038025,0.17934975028038025,22137.81677139233
warm_readout_cap90_lam1,sine.0,4.9763054847717285,49.763054847717285,49.763054847717285
warm_readout_cap90_lam1,sine.1,0.4237021803855896,4.237021803855896,210.84714841625498
warm_readout_cap90_lam1,sine.2,0.5487415790557861,5.487415790557861,1157.0059716134544
warm_readout_cap90_lam1,sine.3,0.4562698006629944,4.562698006629944,5279.06884033965
warm_readout_cap90_lam1,sine.4,0.4808485507965088,4.808485507965088,25384.32601432327
warm_readout_cap90_lam1,sine.5,0.6045279502868652,6.045279502868652,153455.34574852398
warm_readout_cap90_lam1,readout,0.1645384132862091,0.1645384132862091,25249.29909974875
warm_readout_cap50_lam1,sine.0,4.976199626922607,49.761996269226074,49.761996269226074
warm_readout_cap50_lam1,sine.1,0.42788881063461304,4.27888810634613,212.92601398443196
warm_readout_cap50_lam1,sine.2,0.553026556968689,5.53026556968689,1177.5374040287732
warm_readout_cap50_lam1,sine.3,0.46066221594810486,4.606622159481049,5424.469899016735
warm_readout_cap50_lam1,sine.4,0.4863932132720947,4.863932132720947,26384.25344480505
warm_readout_cap50_lam1,sine.5,0.5890253782272339,5.890253782272339,155409.94864569494
warm_readout_cap50_lam1,readout,0.10159953683614731,0.10159953683614731,15789.578802132044
warm_readout_cap10_lam1,sine.0,4.976182460784912,49.76182460784912,49.76182460784912
warm_readout_cap10_lam1,sine.1,0.4270990490913391,4.270990490913391,212.53227971062358
warm_readout_cap10_lam1,sine.2,0.5543030500411987,5.543030500411987,1178.0729087580783
warm_readout_cap10_lam1,sine.3,0.4588259160518646,4.588259160518646,5405.3038153681
warm_readout_cap10_lam1,sine.4,0.4841962456703186,4.841962456703186,26172.27814108683
warm_readout_cap10_lam1,sine.5,0.6159038543701172,6.159038543701172,161196.06984742143
warm_readout_cap10_lam1,readout,0.08240710943937302,0.08240710943937302,13283.702169113274
warm_prereadout_cap10_lam1,sine.0,4.975982666015625,49.75982666015625,49.75982666015625
warm_prereadout_cap10_lam1,sine.1,0.4249582588672638,4.249582588672638,211.45849299036854
warm_prereadout_cap10_lam1,sine.2,0.5545256733894348,5.545256733894348,1172.591632193992
warm_prereadout_cap10_lam1,sine.3,0.4621409475803375,4.621409475803375,5419.02608026906
warm_prereadout_cap10_lam1,sine.4,0.5186370015144348,5.186370015144348,28105.074373992662
warm_prereadout_cap10_lam1,sine.5,0.08586940914392471,0.8586940914392471,24133.661304408095
warm_prereadout_cap10_lam1,readout,0.2795816957950592,0.2795816957950592,6747.329953230016
warm_readout_counter1_lam1e-2,sine.0,4.976210594177246,49.76210594177246,49.76210594177246
warm_readout_counter1_lam1e-2,sine.1,0.4249211251735687,4.249211251735687,211.44970047784284
warm_readout_counter1_lam1e-2,sine.2,0.552165150642395,5.52165150642395,1167.551557176374
warm_readout_counter1_lam1e-2,sine.3,0.45599478483200073,4.559947848320007,5323.974210949081
warm_readout_counter1_lam1e-2,sine.4,0.48199495673179626,4.819949567317963,25661.28719447601
warm_readout_counter1_lam1e-2,sine.5,0.591042160987854,5.91042160987854,151669.02637153046
warm_readout_counter1_lam1e-2,readout,0.13692468404769897,0.13692468404769897,20767.23351574393
warm_prereadout_counter1_lam1e-2,sine.0,4.976149559020996,49.76149559020996,49.76149559020996
warm_prereadout_counter1_lam1e-2,sine.1,0.4245659410953522,4.245659410953522,211.2703620556971
warm_prereadout_counter1_lam1e-2,sine.2,0.5606423616409302,5.606423616409302,1184.4711472764038
warm_prereadout_counter1_lam1e-2,sine.3,0.4698106050491333,4.698106050491333,5564.771063651684
warm_prereadout_counter1_lam1e-2,sine.4,0.4970839023590088,4.970839023590088,27661.581160544712
warm_prereadout_counter1_lam1e-2,sine.5,0.18468870222568512,1.8468870222568512,51087.81526051464
warm_prereadout_counter1_lam1e-2,readout,0.21325179934501648,0.21325179934501648,10894.568528910539
