model,target_layer,sigma,cap,sigma_over_cap,violation,raw_term
softlip_tiered_e12,sine.0,4.479329586029053,4.47867021560669,1.000147224598066,0.0006593704223627483,4.3476935388682915e-07
softlip_tiered_e12,sine.1,0.36579081416130066,0.3598584488034248,1.0164852746339614,0.005932365357875835,3.5192958739325286e-05
softlip_tiered_e12,sine.2,0.4678330421447754,0.46664632260799405,1.0025430813000926,0.0011867195367813443,1.4083032589785286e-06
softlip_tiered_e12,sine.3,0.3495332896709442,0.34497396647930145,1.0132164268456945,0.004559323191642761,2.0787427965851535e-05
softlip_tiered_e12,sine.4,0.3660651743412018,0.36295972019433975,1.0085559194976217,0.00310545414686203,9.643845458262579e-06
softlip_tiered_e12,sine.5,0.46134722232818604,0.45956262946128845,1.0038832419184944,0.001784592866897583,3.1847717005817344e-06
softlip_tiered_e12,readout,0.15128716826438904,0.14595454931259155,1.036536161270154,0.005332618951797485,2.843682488506971e-05
warm_readout_cap90_lam1,readout,0.1645384132862091,0.1641988679766655,1.0020678906847997,0.0003395453095436096,1.1529101723306567e-07
warm_readout_cap50_lam1,readout,0.10159953683614731,0.09122159332036972,1.1137663039860564,0.010377943515777588,0.00010770171161667008
warm_readout_cap10_lam1,readout,0.08240710943937302,0.018244318664073944,4.516864178745471,0.06416279077529907,0.004116863720074804
warm_prereadout_cap10_lam1,sine.5,0.08586940914392471,0.061275011301040655,1.4013772877503552,0.024594397842884058,0.00060488440525406
warm_readout_counter1_lam1e-2,readout,0.13692468404769897,6.338785500450331e-06,21601.091256041294,0.13691834526219854,0.018746633269338606
warm_prereadout_counter1_lam1e-2,sine.5,0.18468870222568512,2.1289322890523383e-05,8675.179721563454,0.1846674129027946,0.03410205338821123
