iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.08234158679842948,11.172759882652192,11.61906225984291,0.13074635,0.05443015322089195,0.3229623377323151
10,0.047608545236289504,13.679865518708771,13.974808842814532,0.14003137,0.05190705312415957,0.49071508049964907
20,0.03144785687327385,15.843002671255523,15.177850094868747,0.20079243,0.04475606782361865,0.6608020186424255
50,0.013642036309465765,19.494137239650403,18.89438040689535,0.47782436,0.03937074244022369,0.7947481095790863
100,0.005736537592019886,23.385242510150196,22.54587018342233,0.74591213,0.02720454391092062,0.8670357286930084
200,0.0030059550306759776,26.455598576274717,25.44868441761036,0.8684115,0.016940656024962662,0.939146202802658
500,0.0018879778945120052,29.112352758500144,28.48929782673636,0.9265355,0.010372905805706979,1.0252056956291198
1000,0.0012963179091457278,30.591105329505076,29.754721308158445,0.94777626,0.007945628790184855,1.0842203140258788
