Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[init] loaded model weights from 'model_cifar10/functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000/modSiren.pth'
[init] source model_name=functa_like_cifar10_spatial_paper_siren_h256_md1024_d6_lat8x16_freq10.0_nearest_lc_norm01_extlr3e-05_e512_inner3_moptsgd_adamphi3_lr1e-02_train50000_test10000
[init] source variant=vanilla
[init] source best_loss=0.0012658266946101737
[svd-proj] enabled: target=modul mode=reference_scale every=1 layers=1
[svd-proj]   modul        cap=7.13072 sigma 14.2615 -> 7.13072

  0%|          | 0/196 [00:00<?, ?it/s]
Epoch 0 | total 0.0049 | MSE 0.0049 | pen 0.0000:  11%|█         | 21/196 [03:23<29:01,  9.95s/it]
Epoch 0 | total 0.0041 | MSE 0.0041 | pen 0.0000:  11%|█         | 21/196 [03:34<29:01,  9.95s/it]
Epoch 0 | total 0.0041 | MSE 0.0041 | pen 0.0000:  11%|█         | 22/196 [03:34<29:16, 10.10s/it]
Epoch 0 | total 0.0038 | MSE 0.0038 | pen 0.0000:  11%|█         | 22/196 [03:44<29:16, 10.10s/it]
Epoch 0 | total 0.0038 | MSE 0.0038 | pen 0.0000:  12%|█▏        | 23/196 [03:44<29:26, 10.21s/it]
Epoch 0 | total 0.0033 | MSE 0.0033 | pen 0.0000:  12%|█▏        | 23/196 [03:55<29:26, 10.21s/it]
Epoch 0 | total 0.0033 | MSE 0.0033 | pen 0.0000:  12%|█▏        | 24/196 [03:55<29:35, 10.32s/it]
Epoch 0 | total 0.0035 | MSE 0.0035 | pen 0.0000:  12%|█▏        | 24/196 [04:05<29:35, 10.32s/it]
Epoch 0 | total 0.0035 | MSE 0.0035 | pen 0.0000:  13%|█▎        | 25/196 [04:05<29:42, 10.42s/it]
Epoch 0 | total 0.0033 | MSE 0.0033 | pen 0.0000:  13%|█▎        | 25/196 [04:16<29:42, 10.42s/it]
Epoch 0 | total 0.0033 | MSE 0.0033 | pen 0.0000:  13%|█▎        | 26/196 [04:16<29:34, 10.44s/it]
Epoch 0 | total 0.0029 | MSE 0.0029 | pen 0.0000:  13%|█▎        | 26/196 [04:27<29:34, 10.44s/it]
