iters,mse_mean,psnr_mean,psnr_median,ssim_mean,edge_laplacian_mse_mean,phi_norm_mean
5,0.06071318257600069,12.632282111809854,13.20032825347139,0.09434623,0.05611239792779088,0.2286197602748871
10,0.047242379188537596,13.769698795441903,14.078598888146548,0.114632756,0.056330480612814426,0.3008105129003525
20,0.03382620718330145,15.469776607584942,14.668216443884658,0.14991996,0.061409004125744106,0.3858365386724472
50,0.025854917895048856,16.76761575313899,16.460279802943308,0.23678306,0.05394258443266153,0.44680328369140626
100,0.01651907181367278,18.725515807046314,19.11768375007123,0.4396494,0.06717755775898696,0.5333245009183883
200,0.008469153719488531,21.62314536962141,21.12302351660279,0.6960894,0.05119901262223721,0.6874207466840744
500,0.003992334561189637,25.149207904321777,24.330570838897643,0.8439822,0.024780503707006574,0.8266430795192719
1000,0.0034552470257040112,26.606111995121694,25.187948654253017,0.88317776,0.017287402972579004,0.9018418312072753
